ID,Count,Noun,Verb,Letter,adjective,morphological,The,diacritic
270,4,0,1,0,0,2,0,1
271,3,0,3,0,0,2,0,1
272,5,6,0,0,0,6,0,2
273,4,0,1,0,0,2,0,1
274,4,0,3,0,0,2,0,1
275,5,6,0,0,0,6,0,2
276,4,0,1,0,0,2,0,1
277,4,0,3,0,0,2,0,1
278,5,6,0,0,0,6,0,2
279,6,0,1,0,0,8,0,2
280,5,0,3,0,0,8,0,2
281,7,6,0,0,0,9,0,2
282,5,0,1,0,0,8,0,2
283,5,0,3,0,0,8,0,2
284,6,6,0,0,0,9,0,2
285,6,0,1,0,0,8,0,2
286,6,0,3,0,0,8,0,2
287,7,6,0,0,0,9,0,2
288,5,0,1,0,0,7,0,2
289,5,0,3,0,0,7,0,2
290,6,6,0,0,0,4,0,2
291,5,0,1,0,0,7,0,2
292,5,0,3,0,0,7,0,2
293,6,6,0,0,0,4,0,2
294,5,0,1,0,0,7,0,2
295,4,0,3,0,0,7,0,2
296,6,6,0,0,0,4,0,2
297,5,0,1,0,0,7,0,2
298,5,0,3,0,0,7,0,2
299,6,6,0,0,0,4,0,2
300,5,0,1,0,0,7,0,2
301,5,0,3,0,0,7,0,2
302,6,6,0,0,1,10,0,2
303,4,1,0,0,0,2,0,1
304,5,6,0,0,0,5,0,1
305,5,6,0,0,0,6,0,1
306,2,6,0,0,0,1,0,1
307,4,6,0,0,0,2,0,2
308,4,6,0,0,0,1,0,1
309,4,1,0,0,0,6,0,2
310,4,0,1,0,0,2,0,1
311,4,6,0,0,0,2,0,1
312,2,0,0,1,0,1,0,2
313,2,0,0,1,0,1,0,2
314,2,0,0,1,0,1,0,1
315,2,0,0,1,0,1,0,1
316,3,0,0,1,0,1,0,2
317,3,0,0,1,0,1,0,2
318,3,0,0,1,0,1,0,1
319,3,0,0,1,0,1,0,1
320,3,0,0,1,0,1,0,1
321,6,0,0,0,1,5,1,1
322,5,6,0,0,0,2,1,1
323,5,6,0,0,0,2,1,1
324,4,0,1,0,0,2,0,1
325,5,6,0,0,0,2,0,2
326,4,0,3,0,0,2,0,1
327,4,0,1,0,0,2,0,1
328,5,6,0,0,0,6,0,2
329,4,0,3,0,0,2,0,1
330,4,0,1,0,0,2,0,1
331,5,6,0,0,0,2,0,2
332,4,0,3,0,0,2,0,1
333,4,0,1,0,0,2,0,1
334,5,6,0,0,0,6,0,2
335,3,0,3,0,0,2,0,1
336,4,0,1,0,0,8,0,1
337,5,6,0,0,0,4,0,2
338,3,0,3,0,0,2,0,1
339,4,0,1,0,0,7,0,1
340,5,6,0,0,0,4,0,2
341,3,0,3,0,0,2,0,1
342,4,0,1,0,0,2,0,1
